SYMBOL	ENSEMBL
TNFSF9	ENSG00000125657
GRIA3	ENSG00000125675
THOC2	ENSG00000125676
MED1	ENSG00000125686
RPL23	ENSG00000125691
ATG4C	ENSG00000125703
CD70	ENSG00000125726
C3	ENSG00000125730
SH2D3A	ENSG00000125731
TRIP10	ENSG00000125733
GPR108	ENSG00000125734
TNFSF14	ENSG00000125735
FOSB	ENSG00000125740
OPA3	ENSG00000125741
SNRPD2	ENSG00000125743
RTN2	ENSG00000125744
EML2	ENSG00000125746
VASP	ENSG00000125753
SYMPK	ENSG00000125755
GPCPD1	ENSG00000125772
SDCBP2	ENSG00000125775
FKBP1A-SDCBP2	ENSG00000125775
PANK2	ENSG00000125779
TGM3	ENSG00000125780
GNRH2	ENSG00000125787
DEFB126	ENSG00000125788
FOXA2	ENSG00000125798
FAM182A	ENSG00000125804
CD93	ENSG00000125810
GZF1	ENSG00000125812
PAX1	ENSG00000125813
NAPB	ENSG00000125814
CST8	ENSG00000125815
NKX2-4	ENSG00000125816
CENPB	ENSG00000125817
PSMF1	ENSG00000125818
NKX2-2	ENSG00000125820
DTD1	ENSG00000125821
CSTL1	ENSG00000125823
RBCK1	ENSG00000125826
TMX4	ENSG00000125827
CST11	ENSG00000125831
STK35	ENSG00000125834
SNRPB	ENSG00000125835
NRSN2	ENSG00000125841
AP5S1	ENSG00000125843
RRBP1	ENSG00000125844
BMP2	ENSG00000125845
ZNF133	ENSG00000125846
FLRT3	ENSG00000125848
OVOL2	ENSG00000125850
PCSK2	ENSG00000125851
GFRA4	ENSG00000125861
MKKS	ENSG00000125863
BFSP1	ENSG00000125864
DSTN	ENSG00000125868
LAMP5	ENSG00000125869
SNRPB2	ENSG00000125870
MGME1	ENSG00000125871
LRRN4	ENSG00000125872
TBC1D20	ENSG00000125875
ITPA	ENSG00000125877
TCF15	ENSG00000125878
OTOR	ENSG00000125879
MCM8	ENSG00000125885
BANF2	ENSG00000125888
TMEM74B	ENSG00000125895
FAM110A	ENSG00000125898
C20orf187	ENSG00000125899
MRPS26	ENSG00000125901
DEFB129	ENSG00000125903
S1PR4	ENSG00000125910
NCLN	ENSG00000125912
CITED1	ENSG00000125931
HNRNPR	ENSG00000125944
ZNF436	ENSG00000125945
MAX	ENSG00000125952
ARMCX5	ENSG00000125962
GDF5	ENSG00000125965
MMP24	ENSG00000125966
NECAB3	ENSG00000125967
ID1	ENSG00000125968
RALY	ENSG00000125970
DYNLRB1	ENSG00000125971
C20orf173	ENSG00000125975
EIF2S2	ENSG00000125977
ERGIC3	ENSG00000125991
ROMO1	ENSG00000125995
NA	ENSG00000125997
FAM83C	ENSG00000125998
BPIFB1	ENSG00000125999
CEP250	ENSG00000126001
PLAGL2	ENSG00000126003
GRPR	ENSG00000126010
KDM5C	ENSG00000126012
AMOT	ENSG00000126016
TMEM115	ENSG00000126062
PSMB2	ENSG00000126067
AGO3	ENSG00000126070
UROD	ENSG00000126088
ST3GAL3	ENSG00000126091
TMEM53	ENSG00000126106
HECTD3	ENSG00000126107
KLC1	ENSG00000126214
XRCC3	ENSG00000126215
TUBGCP3	ENSG00000126216
MCF2L	ENSG00000126217
F10	ENSG00000126218
PCID2	ENSG00000126226
PROZ	ENSG00000126231
SLURP1	ENSG00000126233
LRFN3	ENSG00000126243
CAPNS1	ENSG00000126247
PDCD2L	ENSG00000126249
RBM42	ENSG00000126254
KIRREL2	ENSG00000126259
UBA2	ENSG00000126261
FFAR2	ENSG00000126262
HCST	ENSG00000126264
FFAR1	ENSG00000126266
COX6B1	ENSG00000126267
KRT36	ENSG00000126337
THRA	ENSG00000126351
CCR7	ENSG00000126353
NR1D1	ENSG00000126368
FRMD8	ENSG00000126391
PRDX5	ENSG00000126432
BCL2L12	ENSG00000126453
IRF3	ENSG00000126456
PRMT1	ENSG00000126457
RRAS	ENSG00000126458
PRRG2	ENSG00000126460
SCAF1	ENSG00000126461
PRR12	ENSG00000126464
TSKS	ENSG00000126467
FLRT1	ENSG00000126500
ASL	ENSG00000126522
SBDS	ENSG00000126524
CSN1S1	ENSG00000126545
STATH	ENSG00000126549
HTN1	ENSG00000126550
STAT5A	ENSG00000126561
WNK4	ENSG00000126562
BECN1	ENSG00000126581
PRKCG	ENSG00000126583
TRAP1	ENSG00000126602
GLIS2	ENSG00000126603
NSRP1	ENSG00000126653
DNAJC8	ENSG00000126698
AHDC1	ENSG00000126705
IFI6	ENSG00000126709
DACH2	ENSG00000126733
ZNF384	ENSG00000126746
SSX1	ENSG00000126752
UXT	ENSG00000126756
CFP	ENSG00000126759
ELK1	ENSG00000126767
TIMM17B	ENSG00000126768
PCNX4	ENSG00000126773
ATG14	ENSG00000126775
KTN1	ENSG00000126777
SIX1	ENSG00000126778
RHOJ	ENSG00000126785
DLGAP5	ENSG00000126787
L3HYPDH	ENSG00000126790
HSPA2	ENSG00000126803
ZBTB1	ENSG00000126804
TRMT5	ENSG00000126814
SGPP1	ENSG00000126821
PLEKHG3	ENSG00000126822
PZP	ENSG00000126838
PRDM7	ENSG00000126856
RHOT1	ENSG00000126858
EVI2A	ENSG00000126860
OMG	ENSG00000126861
LOC101927057	ENSG00000126861
WDR60	ENSG00000126870
AIF1L	ENSG00000126878
FAM78A	ENSG00000126882
NUP214	ENSG00000126883
CTAG2	ENSG00000126890
AVPR2	ENSG00000126895
SLC10A3	ENSG00000126903
MAP2K2	ENSG00000126934
HNRNPH2	ENSG00000126945
ARMCX1	ENSG00000126947
TMEM35A	ENSG00000126950
NXF5	ENSG00000126952
TIMM8A	ENSG00000126953
ZC4H2	ENSG00000126970
CANX	ENSG00000127022
INTS11	ENSG00000127054
RGS13	ENSG00000127074
IPPK	ENSG00000127080
ZNF484	ENSG00000127081
OMD	ENSG00000127083
FGD3	ENSG00000127084
HIVEP3	ENSG00000127124
PPCS	ENSG00000127125
EDN2	ENSG00000127129
BCL11B	ENSG00000127152
COX7C	ENSG00000127184
TRAF2	ENSG00000127191
ABHD8	ENSG00000127220
MASP1	ENSG00000127241
ATP13A4	ENSG00000127249
HRASLS	ENSG00000127252
HELB	ENSG00000127311
RAP1B	ENSG00000127314
IL22	ENSG00000127318
TSPAN8	ENSG00000127324
BEST3	ENSG00000127325
RAB3IP	ENSG00000127328
PTPRB	ENSG00000127329
DYRK2	ENSG00000127334
YEATS4	ENSG00000127337
TAS2R5	ENSG00000127366
CRYGN	ENSG00000127377
LRRC61	ENSG00000127399
TRPV5	ENSG00000127412
IDUA	ENSG00000127415
FGFRL1	ENSG00000127418
TMEM175	ENSG00000127419
AUNIP	ENSG00000127423
PIN1	ENSG00000127445
FBXL12	ENSG00000127452
EMC1	ENSG00000127463
PLA2G5	ENSG00000127472
UBR4	ENSG00000127481
HP1BP3	ENSG00000127483
ADGRE2	ENSG00000127507
SIN3B	ENSG00000127511
OR7A10	ENSG00000127515
EPS15L1	ENSG00000127527
KLF2	ENSG00000127528
OR7C2	ENSG00000127529
F2RL3	ENSG00000127533
GFER	ENSG00000127554
SYNGR3	ENSG00000127561
PKMYT1	ENSG00000127564
WFIKKN1	ENSG00000127578
WDR24	ENSG00000127580
FBXL16	ENSG00000127585
CHTF18	ENSG00000127586
GNG13	ENSG00000127588
MACF1	ENSG00000127603
KIAA0754	ENSG00000127603
SMARCA4	ENSG00000127616
KDM4B	ENSG00000127663
TICAM1	ENSG00000127666
METTL25	ENSG00000127720
IL17B	ENSG00000127743
EMC6	ENSG00000127774
OR1E2	ENSG00000127780
METTL16	ENSG00000127804
TUBA4A	ENSG00000127824
VIL1	ENSG00000127831
AAMP	ENSG00000127837
PNKD	ENSG00000127838
TNFRSF19	ENSG00000127863
RNF6	ENSG00000127870
ECHS1	ENSG00000127884
ZNF835	ENSG00000127903
AKAP9	ENSG00000127914
GNG11	ENSG00000127920
SEM1	ENSG00000127922
GNGT1	ENSG00000127928
HIP1	ENSG00000127946
PTPN12	ENSG00000127947
POR	ENSG00000127948
FGL2	ENSG00000127951
STYXL1	ENSG00000127952
STEAP4	ENSG00000127954
GNAI1	ENSG00000127955
PMS2P3	ENSG00000127957
PEX1	ENSG00000127980
MTERF1	ENSG00000127989
SGCE	ENSG00000127990
RBM48	ENSG00000127993
CASD1	ENSG00000127995
ZNF780B	ENSG00000128000
LRFN1	ENSG00000128011
ZFP36	ENSG00000128016
SRD5A3	ENSG00000128039
SPINK2	ENSG00000128040
RASL11B	ENSG00000128045
PAICS	ENSG00000128050
KDR	ENSG00000128052
PPAT	ENSG00000128059
TUBGCP6	ENSG00000128159
ADM2	ENSG00000128165
DGCR6L	ENSG00000128185
DGCR8	ENSG00000128191
ASPHD2	ENSG00000128203
VPREB3	ENSG00000128218
SDF2L1	ENSG00000128228
GAL3ST1	ENSG00000128242
YWHAH	ENSG00000128245
RFPL1	ENSG00000128250
RFPL2	ENSG00000128253
C22orf24	ENSG00000128254
POM121L9P	ENSG00000128262
GNAZ	ENSG00000128266
MGAT3	ENSG00000128268
ATF4	ENSG00000128272
A4GALT	ENSG00000128274
RFPL3	ENSG00000128276
CDC42EP1	ENSG00000128283
APOL3	ENSG00000128284
MCHR1	ENSG00000128285
TPST2	ENSG00000128294
BAIAP2L2	ENSG00000128298
MPST	ENSG00000128309
GALR3	ENSG00000128310
TST	ENSG00000128311
APOL5	ENSG00000128313
IGLL1	ENSG00000128322
APOL2	ENSG00000128335
RAC2	ENSG00000128340
LIF	ENSG00000128342
C22orf23	ENSG00000128346
APOBEC3A	ENSG00000128383
APOBEC3A_B	ENSG00000128383
APOBEC3F	ENSG00000128394
RIBC2	ENSG00000128408
KRT17	ENSG00000128422
NA	ENSG00000128438
EMC4	ENSG00000128463
RNF112	ENSG00000128482
SPECC1	ENSG00000128487
CPA4	ENSG00000128510
DOCK4	ENSG00000128512
POT1	ENSG00000128513
TAS2R16	ENSG00000128519
ATP6V1F	ENSG00000128524
LSM8	ENSG00000128534
CDHR3	ENSG00000128536
PRKRIP1	ENSG00000128563
LOC100630923	ENSG00000128563
VGF	ENSG00000128564
PODXL	ENSG00000128567
FOXP2	ENSG00000128573
STRIP2	ENSG00000128578
IFT22	ENSG00000128581
MKLN1	ENSG00000128585
DNAJB9	ENSG00000128590
FLNC	ENSG00000128591
LRRC4	ENSG00000128594
CALU	ENSG00000128595
CCDC136	ENSG00000128596
SMO	ENSG00000128602
IRF5	ENSG00000128604
LRRC17	ENSG00000128606
KLHDC10	ENSG00000128607
NDUFA5	ENSG00000128609
FEZF1	ENSG00000128610
OPN1SW	ENSG00000128617
MRPS12	ENSG00000128626
MYO1B	ENSG00000128641
HOXD1	ENSG00000128645
MTX2	ENSG00000128654
PDE11A	ENSG00000128655
CHN1	ENSG00000128656
GAD1	ENSG00000128683
NA	ENSG00000128692
OSGEPL1	ENSG00000128694
ORMDL1	ENSG00000128699
HAT1	ENSG00000128708
HOXD9	ENSG00000128709
HOXD10	ENSG00000128710
HOXD11	ENSG00000128713
HOXD13	ENSG00000128714
HERC2	ENSG00000128731
SNRPN	ENSG00000128739
PSMG2	ENSG00000128789
TWSG1	ENSG00000128791
ARHGAP22	ENSG00000128805
WDFY4	ENSG00000128815
EIF2AK4	ENSG00000128829
MYO5C	ENSG00000128833
CGNL1	ENSG00000128849
TMOD2	ENSG00000128872
TTBK2	ENSG00000128881
CCDC32	ENSG00000128891
INO80	ENSG00000128908
ICE2	ENSG00000128915
DLL4	ENSG00000128917
ALDH1A2	ENSG00000128918
MINDY2	ENSG00000128923
IVD	ENSG00000128928
KNSTRN	ENSG00000128944
DUT	ENSG00000128951
CHAC1	ENSG00000128965
ARPP19	ENSG00000128989
VPS13C	ENSG00000129003
ISLR	ENSG00000129009
THAP10	ENSG00000129028
LOXL1	ENSG00000129038
ANAPC13	ENSG00000129055
MBD4	ENSG00000129071
COPB1	ENSG00000129083
PSMA1	ENSG00000129084
SUMF2	ENSG00000129103
PALLD	ENSG00000129116
SPCS3	ENSG00000129128
BBOX1	ENSG00000129151
MYOD1	ENSG00000129152
SERGEF	ENSG00000129158
KCNC1	ENSG00000129159
TPH1	ENSG00000129167
CSRP3	ENSG00000129170
E2F8	ENSG00000129173
DCTD	ENSG00000129187
SOX15	ENSG00000129194
PIMREG	ENSG00000129195
RPAIN	ENSG00000129197
USP6	ENSG00000129204
SHBG	ENSG00000129214
PLD2	ENSG00000129219
AIPL1	ENSG00000129221
TXNDC17	ENSG00000129235
ATP1B2	ENSG00000129244
FXR2	ENSG00000129245
KIF1C	ENSG00000129250
MPDU1	ENSG00000129255
PHF20L1	ENSG00000129292
LRRC6	ENSG00000129295
CCNT1	ENSG00000129315
PUS7L	ENSG00000129317
KRI1	ENSG00000129347
ILF3	ENSG00000129351
SLC44A2	ENSG00000129353
AP1M2	ENSG00000129354
CDKN2D	ENSG00000129355
MTUS1	ENSG00000129422
KLK14	ENSG00000129437
SIGLEC9	ENSG00000129450
KLK10	ENSG00000129451
NGDN	ENSG00000129460
RIPK3	ENSG00000129465
ADCY4	ENSG00000129467
RAB2B	ENSG00000129472
AJUBA	ENSG00000129474
PARP2	ENSG00000129484
HEATR5A	ENSG00000129493
FOXA1	ENSG00000129514
SNX6	ENSG00000129515
EAPP	ENSG00000129518
EGLN3	ENSG00000129521
MIS18BP1	ENSG00000129534
NRL	ENSG00000129535
RNASE1	ENSG00000129538
DAD1	ENSG00000129562
TEP1	ENSG00000129566
EPB41L4A	ENSG00000129595
CDO1	ENSG00000129596
REEP5	ENSG00000129625
ITFG1	ENSG00000129636
QRICH2	ENSG00000129646
FOXJ1	ENSG00000129654
SEC14L1	ENSG00000129657
RHBDF2	ENSG00000129667
AANAT	ENSG00000129673
ARHGEF6	ENSG00000129675
MAP7D3	ENSG00000129680
FGF13	ENSG00000129682
ASH2L	ENSG00000129691
TTI2	ENSG00000129696
ART1	ENSG00000129744
CHRNA10	ENSG00000129749
CDKN1C	ENSG00000129757
SGO1	ENSG00000129810
RPS4Y1	ENSG00000129824
CDH15	ENSG00000129910
KLF16	ENSG00000129911
TMEM8A	ENSG00000129925
DOHH	ENSG00000129932
MAU2	ENSG00000129933
SHC2	ENSG00000129946
PLPPR3	ENSG00000129951
INS-IGF2	ENSG00000129965
ABHD17A	ENSG00000129968
LBP	ENSG00000129988
SYT5	ENSG00000129990
TNNI3	ENSG00000129991
CBFA2T3	ENSG00000129993
GAMT	ENSG00000130005
PUDP	ENSG00000130021
ERMARD	ENSG00000130023
PHF10	ENSG00000130024
PRRG3	ENSG00000130032
KCNA6	ENSG00000130035
GALNT8	ENSG00000130035
KCNA5	ENSG00000130037
CRACR2A	ENSG00000130038
NXNL2	ENSG00000130045
STARD8	ENSG00000130052
FAM155B	ENSG00000130054
GDPD2	ENSG00000130055
SAT1	ENSG00000130066
GNL3L	ENSG00000130119
SH3BP4	ENSG00000130147
MOSPD2	ENSG00000130150
DOCK6	ENSG00000130158
ECSIT	ENSG00000130159
LDLR	ENSG00000130164
ELOF1	ENSG00000130165
TSPAN16	ENSG00000130167
ANGPTL8	ENSG00000130173
PRKCSH	ENSG00000130175
CNN1	ENSG00000130176
CDC16	ENSG00000130177
ZSCAN10	ENSG00000130182
THEM6	ENSG00000130193
NECTIN2	ENSG00000130202
APOE	ENSG00000130203
TOMM40	ENSG00000130204
APOC1	ENSG00000130208
GADD45G	ENSG00000130222
LRCH2	ENSG00000130224
DPP6	ENSG00000130226
XPO7	ENSG00000130227
ACE2	ENSG00000130234
FAM98C	ENSG00000130244
SAFB2	ENSG00000130254
RPL36	ENSG00000130255
ATP8B3	ENSG00000130270
NCAN	ENSG00000130287
KIF1A	ENSG00000130294
GTPBP3	ENSG00000130299
PLVAP	ENSG00000130300
BST2	ENSG00000130303
SLC27A1	ENSG00000130304
NSUN5	ENSG00000130305
USHBP1	ENSG00000130307
COLGALT1	ENSG00000130309
DDA1	ENSG00000130311
MRPL34	ENSG00000130312
PGLS	ENSG00000130313
LSM7	ENSG00000130332
TULP4	ENSG00000130338
SNX9	ENSG00000130340
RTN4IP1	ENSG00000130347
QRSL1	ENSG00000130348
C6orf203	ENSG00000130349
RSPH3	ENSG00000130363
MAS1	ENSG00000130368
ACSBG2	ENSG00000130377
MLLT1	ENSG00000130382
BMP15	ENSG00000130385
AFDN	ENSG00000130396
ACTN4	ENSG00000130402
STK33	ENSG00000130413
NDUFA10	ENSG00000130414
EPO	ENSG00000130427
CACNG6	ENSG00000130433
ZSWIM6	ENSG00000130449
FCHO1	ENSG00000130475
UNC13A	ENSG00000130477
MAP1S	ENSG00000130479
KLHDC7B	ENSG00000130487
PXDN	ENSG00000130508
SSBP4	ENSG00000130511
GDF15	ENSG00000130513
PGPEP1	ENSG00000130517
IQCN	ENSG00000130518
LSM4	ENSG00000130520
JUND	ENSG00000130522
HRC	ENSG00000130528
TRPM4	ENSG00000130529
SULT4A1	ENSG00000130540
ZNF557	ENSG00000130544
CRB3	ENSG00000130545
OLFM1	ENSG00000130558
CAMSAP1	ENSG00000130559
UBAC1	ENSG00000130560
SAG	ENSG00000130561
ZBTB46	ENSG00000130584
HELZ2	ENSG00000130589
SAMD10	ENSG00000130590
LSP1	ENSG00000130592
TNNT3	ENSG00000130595
TNNI2	ENSG00000130598
H19	ENSG00000130600
CYP2G1P	ENSG00000130612
COL5A1	ENSG00000130635
ATXN10	ENSG00000130638
TUBGCP2	ENSG00000130640
CALY	ENSG00000130643
CYP2E1	ENSG00000130649
PNPLA7	ENSG00000130653
PAK4	ENSG00000130669
MNX1	ENSG00000130675
ZNF337	ENSG00000130684
CEP85	ENSG00000130695
TAF4	ENSG00000130699
GATA5	ENSG00000130700
RBBP8NL	ENSG00000130701
LAMA5	ENSG00000130702
OSBPL2	ENSG00000130703
ADRM1	ENSG00000130706
ASS1	ENSG00000130707
PRDM12	ENSG00000130711
EXOSC2	ENSG00000130713
POMT1	ENSG00000130714
UCK1	ENSG00000130717
FIBCD1	ENSG00000130720
PRRC2B	ENSG00000130723
CHMP2A	ENSG00000130724
UBE2M	ENSG00000130725
TRIM28	ENSG00000130726
METTL26	ENSG00000130731
YIPF2	ENSG00000130733
ATG4D	ENSG00000130734
EIF2S3	ENSG00000130741
TMEM160	ENSG00000130748
ZC3H4	ENSG00000130749
NPAS1	ENSG00000130751
GMFG	ENSG00000130755
MAP3K10	ENSG00000130758
ARHGEF16	ENSG00000130762
LRRC47	ENSG00000130764
SESN2	ENSG00000130766
SMPDL3B	ENSG00000130768
ATP5IF1	ENSG00000130770
MED18	ENSG00000130772
THEMIS2	ENSG00000130775
CLIP1	ENSG00000130779
CCDC62	ENSG00000130783
HIP1R	ENSG00000130787
ZNF317	ENSG00000130803
EIF3G	ENSG00000130811
ANGPTL6	ENSG00000130812
C19orf66	ENSG00000130813
DNMT1	ENSG00000130816
ZNF426	ENSG00000130818
SLC6A8	ENSG00000130821
PNCK	ENSG00000130822
DKC1	ENSG00000130826
PLXNA3	ENSG00000130827
DUSP9	ENSG00000130829
MPP1	ENSG00000130830
ZNF331	ENSG00000130844
ZNF236	ENSG00000130856
SLC7A10	ENSG00000130876
LRP3	ENSG00000130881
C12orf65	ENSG00000130921
NOL11	ENSG00000130935
UBE4B	ENSG00000130939
CASZ1	ENSG00000130940
PKDREJ	ENSG00000130943
HSD17B3	ENSG00000130948
HABP4	ENSG00000130956
FBP2	ENSG00000130957
SLC35D2	ENSG00000130958
UBA1	ENSG00000130985
RGN	ENSG00000130988
POLN	ENSG00000130997
TXLNGY	ENSG00000131002
PPIL4	ENSG00000131013
ULBP2	ENSG00000131015
AKAP12	ENSG00000131016
SYNE1	ENSG00000131018
ULBP3	ENSG00000131019
LATS1	ENSG00000131023
EPS8L1	ENSG00000131037
LILRB2	ENSG00000131042
AAR2	ENSG00000131043
TTLL9	ENSG00000131044
BPIFA2	ENSG00000131050
RBM39	ENSG00000131051
COX4I2	ENSG00000131055
BPIFA3	ENSG00000131059
ZNF341	ENSG00000131061
GGT7	ENSG00000131067
DEFB118	ENSG00000131068
ACSS2	ENSG00000131069
EDA2R	ENSG00000131080
ARHGEF9	ENSG00000131089
C1QL1	ENSG00000131094
GFAP	ENSG00000131095
PYY	ENSG00000131096
HIGD1B	ENSG00000131097
ATP6V1E1	ENSG00000131100
ZNF227	ENSG00000131115
ZNF428	ENSG00000131116
TEX101	ENSG00000131126
ZNF141	ENSG00000131127
CCL25	ENSG00000131142
COX4I1	ENSG00000131143
EMC8	ENSG00000131148
GSE1	ENSG00000131149
GINS2	ENSG00000131153
CHMP1A	ENSG00000131165
SH3BGRL	ENSG00000131171
COX7B	ENSG00000131174
SLC34A1	ENSG00000131183
F12	ENSG00000131187
PRR7	ENSG00000131188
NFATC1	ENSG00000131196
IDO1	ENSG00000131203
CAP1	ENSG00000131236
PPT1	ENSG00000131238
RAB11FIP4	ENSG00000131242
RLIM	ENSG00000131263
CDX4	ENSG00000131264
ABCB7	ENSG00000131269
TRAF3	ENSG00000131323
HAUS8	ENSG00000131351
ADGRE3	ENSG00000131355
MRPS25	ENSG00000131368
SH3BP5	ENSG00000131370
HACL1	ENSG00000131373
TBC1D5	ENSG00000131374
CAPN7	ENSG00000131375
RFTN1	ENSG00000131378
C3orf20	ENSG00000131379
RBSN	ENSG00000131381
GALNT15	ENSG00000131386
SLC6A6	ENSG00000131389
KCNC3	ENSG00000131398
NAPSA	ENSG00000131400
NAPSB	ENSG00000131401
NR1H2	ENSG00000131408
LRRC4B	ENSG00000131409
PDLIM4	ENSG00000131435
KIF3A	ENSG00000131437
MGAT1	ENSG00000131446
GFPT2	ENSG00000131459
TUBG1	ENSG00000131462
PSME3	ENSG00000131467
RPL27	ENSG00000131469
PSMC3IP	ENSG00000131470
AOC3	ENSG00000131471
ACLY	ENSG00000131473
VPS25	ENSG00000131475
RAMP2	ENSG00000131477
AOC2	ENSG00000131480
G6PC	ENSG00000131482
NDUFA2	ENSG00000131495
DIAPH1	ENSG00000131504
NDFIP1	ENSG00000131507
UBE2D2	ENSG00000131508
EXOC4	ENSG00000131558
ACAP3	ENSG00000131584
C1orf159	ENSG00000131591
ANO1	ENSG00000131620
PPFIA1	ENSG00000131626
TMEM204	ENSG00000131634
KREMEN2	ENSG00000131650
THOC6	ENSG00000131652
TRAF7	ENSG00000131653
BARX1	ENSG00000131668
NINJ1	ENSG00000131669
CA6	ENSG00000131686
NPHP4	ENSG00000131697
MAP1B	ENSG00000131711
IL13RA1	ENSG00000131724
WDR44	ENSG00000131725
CKMT2	ENSG00000131730
ZCCHC9	ENSG00000131732
KRT34	ENSG00000131737
KRT33B	ENSG00000131738
TNS4	ENSG00000131746
TOP2A	ENSG00000131747
STARD3	ENSG00000131748
RARA	ENSG00000131759
PPP1R1B	ENSG00000131771
KHDRBS3	ENSG00000131773
CHD1L	ENSG00000131778
PEX11B	ENSG00000131779
FMO5	ENSG00000131781
PIAS3	ENSG00000131788
PRKAB2	ENSG00000131791
CLUHP3	ENSG00000131797
FSHB	ENSG00000131808
PDHA1	ENSG00000131828
RAI2	ENSG00000131831
MCCC2	ENSG00000131844
ZNF304	ENSG00000131845
ZSCAN5A	ENSG00000131848
ZNF132	ENSG00000131849
USP29	ENSG00000131864
SELENOS	ENSG00000131871
CHSY1	ENSG00000131873
SNRPA1	ENSG00000131876
LLGL1	ENSG00000131899
NR0B2	ENSG00000131910
LIN28A	ENSG00000131914
THAP1	ENSG00000131931
RHPN2	ENSG00000131941
C19orf12	ENSG00000131943
FAAP24	ENSG00000131944
LRRC9	ENSG00000131951
ACTR10	ENSG00000131966
ABHD12B	ENSG00000131969
GCH1	ENSG00000131979
LGALS3	ENSG00000131981
PODNL1	ENSG00000132000
DNAJB1	ENSG00000132002
ZSWIM4	ENSG00000132003
FBXW9	ENSG00000132004
RFX1	ENSG00000132005
ZNF20	ENSG00000132010
C19orf57	ENSG00000132016
DCAF15	ENSG00000132017
CC2D1A	ENSG00000132024
MATN3	ENSG00000132031
TRIM21	ENSG00000132109
SPATA6	ENSG00000132122
LRRC41	ENSG00000132128
CCT6B	ENSG00000132141
DHX30	ENSG00000132153
RAF1	ENSG00000132155
SLC6A11	ENSG00000132164
PPARG	ENSG00000132170
NUP210	ENSG00000132182
FCRLA	ENSG00000132185
HSD17B7	ENSG00000132196
ENOSF1	ENSG00000132199
LINC00470	ENSG00000132204
EMILIN2	ENSG00000132205
ARFIP2	ENSG00000132254
TRIM5	ENSG00000132256
CNGA4	ENSG00000132259
TRIM22	ENSG00000132274
RRP8	ENSG00000132275
TIMM10B	ENSG00000132286
EFR3A	ENSG00000132294
PTCD3	ENSG00000132300
IMMT	ENSG00000132305
MRPL35	ENSG00000132313
IQCA1	ENSG00000132321
ILKAP	ENSG00000132323
PER2	ENSG00000132326
RAMP1	ENSG00000132329
PTPRE	ENSG00000132334
RAN	ENSG00000132341
PRKAA1	ENSG00000132356
CARD6	ENSG00000132357
RAP1GAP2	ENSG00000132359
CLUH	ENSG00000132361
INPP5K	ENSG00000132376
MYBBP1A	ENSG00000132382
RPA1	ENSG00000132383
SERPINF1	ENSG00000132386
UBE2G1	ENSG00000132388
EEFSEC	ENSG00000132394
TBC1D14	ENSG00000132405
TMEM128	ENSG00000132406
COQ3	ENSG00000132423
PNISR	ENSG00000132424
POPDC3	ENSG00000132429
SEC61G	ENSG00000132432
LANCL2	ENSG00000132434
FIGNL1	ENSG00000132436
DDC	ENSG00000132437
FTHL17	ENSG00000132446
GRSF1	ENSG00000132463
ENAM	ENSG00000132464
JCHAIN	ENSG00000132465
ANKRD17	ENSG00000132466
UTP3	ENSG00000132467
ITGB4	ENSG00000132470
WBP2	ENSG00000132471
H3F3B	ENSG00000132475
UNK	ENSG00000132478
TRIM47	ENSG00000132481
ZRANB2	ENSG00000132485
EIF5A	ENSG00000132507
KDM6B	ENSG00000132510
CLEC10A	ENSG00000132514
SLC52A1	ENSG00000132517
GUCY2D	ENSG00000132518
XAF1	ENSG00000132530
DLG4	ENSG00000132535
RIDA	ENSG00000132541
VPS13B	ENSG00000132549
RGS22	ENSG00000132554
MATN2	ENSG00000132561
REEP2	ENSG00000132563
PCBD2	ENSG00000132570
SDF2	ENSG00000132581
FLOT2	ENSG00000132589
ERAL1	ENSG00000132591
PRMT7	ENSG00000132600
NIP7	ENSG00000132603
TERF2	ENSG00000132604
VPS4A	ENSG00000132612
MTSS1L	ENSG00000132613
HSPA12B	ENSG00000132622
ANKEF1	ENSG00000132623
SCP2D1	ENSG00000132631
PCED1A	ENSG00000132635
SNAP25	ENSG00000132639
BTBD3	ENSG00000132640
PCNA	ENSG00000132646
NXT1	ENSG00000132661
POLR3F	ENSG00000132664
RIN2	ENSG00000132669
PTPRA	ENSG00000132670
DAP3	ENSG00000132676
RHBG	ENSG00000132677
KHDC4	ENSG00000132680
ATP1A4	ENSG00000132681
NES	ENSG00000132688
BCAN	ENSG00000132692
CRP	ENSG00000132693
ARHGEF11	ENSG00000132694
RAB25	ENSG00000132698
HAPLN2	ENSG00000132702
APCS	ENSG00000132703
FCRL2	ENSG00000132704
DCAF8	ENSG00000132716
SYT11	ENSG00000132718
IGHMBP2	ENSG00000132740
ACY3	ENSG00000132744
ALDH3B2	ENSG00000132746
TESMIN	ENSG00000132749
MMACHC	ENSG00000132763
DPH2	ENSG00000132768
TOE1	ENSG00000132773
NASP	ENSG00000132780
MUTYH	ENSG00000132781
CTNNBL1	ENSG00000132792
LPIN3	ENSG00000132793
ZSWIM3	ENSG00000132801
RBM38	ENSG00000132819
VSTM2L	ENSG00000132821
OSER1	ENSG00000132823
SERINC3	ENSG00000132824
PPP1R3D	ENSG00000132825
NA	ENSG00000132832
DMGDH	ENSG00000132837
BHMT2	ENSG00000132840
AP3B1	ENSG00000132842
ZBED3	ENSG00000132846
PATJ	ENSG00000132849
KANK4	ENSG00000132854
ANGPTL3	ENSG00000132855
SYT4	ENSG00000132872
