gene_id	gene_name	seqnames	start	end	width	strand	gene_biotype	seq_coord_system	description	gene_id_version	symbol	entrezid
ENSMUSG00000064357	mt-Atp6	MT	7927	8607	681	+	protein_coding	chromosome	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]	ENSMUSG00000064357.1	mt-Atp6	17705
ENSMUSG00000064358	mt-Co3	MT	8607	9390	784	+	protein_coding	chromosome	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]	ENSMUSG00000064358.1	mt-Co3	17710
ENSMUSG00000064359	mt-Tg	MT	9391	9458	68	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486]	ENSMUSG00000064359.1	mt-Tg	"NA"
ENSMUSG00000064360	mt-Nd3	MT	9459	9806	348	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]	ENSMUSG00000064360.1	mt-Nd3	17718
ENSMUSG00000064361	mt-Tr	MT	9808	9875	68	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476]	ENSMUSG00000064361.1	mt-Tr	"NA"
ENSMUSG00000065947	mt-Nd4l	MT	9877	10173	297	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]	ENSMUSG00000065947.3	mt-Nd4l	17720
ENSMUSG00000064363	mt-Nd4	MT	10167	11544	1378	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]	ENSMUSG00000064363.1	mt-Nd4	17719
ENSMUSG00000064364	mt-Th	MT	11546	11612	67	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA histidine [Source:MGI Symbol;Acc:MGI:102485]	ENSMUSG00000064364.1	mt-Th	"NA"
ENSMUSG00000064365	mt-Ts2	MT	11613	11671	59	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474]	ENSMUSG00000064365.1	mt-Ts2	"NA"
ENSMUSG00000064366	mt-Tl2	MT	11671	11741	71	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481]	ENSMUSG00000064366.1	mt-Tl2	"NA"
ENSMUSG00000064367	mt-Nd5	MT	11742	13565	1824	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]	ENSMUSG00000064367.1	mt-Nd5	17721
ENSMUSG00000064368	mt-Nd6	MT	13552	14070	519	-	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]	ENSMUSG00000064368.1	mt-Nd6	17722
ENSMUSG00000064369	mt-Te	MT	14071	14139	69	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA glutamic acid [Source:MGI Symbol;Acc:MGI:102488]	ENSMUSG00000064369.1	mt-Te	"NA"
ENSMUSG00000064370	mt-Cytb	MT	14145	15288	1144	+	protein_coding	chromosome	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]	ENSMUSG00000064370.1	mt-Cytb	17711
ENSMUSG00000064371	mt-Tt	MT	15289	15355	67	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA threonine [Source:MGI Symbol;Acc:MGI:102473]	ENSMUSG00000064371.1	mt-Tt	"NA"
ENSMUSG00000064372	mt-Tp	MT	15356	15422	67	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478]	ENSMUSG00000064372.1	mt-Tp	"NA"
